time,contract,open,high,low,close,volume,delta
20210104 00:00,202101,14640,14925,14635,14874,136418,0
20210105 00:00,202101,14874,14980,14836,14977,110584,0
20210106 00:00,202101,15048,15140,14764,14911,232247,0
20210107 00:00,202101,15050,15260,15024,15230,150718,0
20210108 00:00,202101,15376,15473,15264,15454,157479,0
20210111 00:00,202101,15420,15538,15369,15534,138091,0
20210112 00:00,202101,15517,15605,15407,15493,174168,0
20210113 00:00,202101,15557,15790,15555,15764,154207,0
20210114 00:00,202101,15705,15766,15632,15729,119908,0
20210115 00:00,202101,15950,16002,15584,15634,223867,0
20210118 00:00,202101,15637,15679,15327,15606,177780,0
20210119 00:00,202101,15714,15946,15710,15888,147332,0
20210120 00:00,202101,15899,15964,15735,15766,118918,-54
20210121 00:00,202102,15803,16183,15769,16129,231029,0
20210122 00:00,202102,16051,16085,15928,15984,160968,0
20210125 00:00,202102,15956,16004,15719,15912,167725,0
20210126 00:00,202102,15865,15974,15537,15626,228676,0
20210127 00:00,202102,15725,15814,15585,15660,183234,0
20210128 00:00,202102,15411,15524,15305,15383,201902,0
20210129 00:00,202102,15498,15539,15063,15075,203189,0
20210201 00:00,202102,15156,15398,15090,15360,164061,0
20210202 00:00,202102,15469,15820,15459,15755,175239,0
20210203 00:00,202102,15864,15875,15716,15772,140799,0
20210204 00:00,202102,15721,15777,15542,15701,159362,0
20210205 00:00,202102,15809,15984,15751,15804,158711,0
20210217 00:00,202102,16261,16433,16179,16326,97829,-26
20210218 00:00,202103,16374,16525,16287,16380,152649,0
20210219 00:00,202103,16301,16328,16130,16314,152657,0
20210222 00:00,202103,16480,16564,16336,16385,151213,0
20210223 00:00,202103,16223,16451,16182,16437,136215,0
20210224 00:00,202103,16300,16435,16133,16182,178964,0
20210225 00:00,202103,16388,16422,16243,16388,133910,0
20210226 00:00,202103,16037,16118,15852,15935,197461,0
20210302 00:00,202103,16249,16277,15868,15907,146169,0
20210303 00:00,202103,16000,16196,15885,16181,151923,0
20210304 00:00,202103,16025,16066,15756,15925,198456,0
20210305 00:00,202103,15601,15914,15570,15855,168052,0
20210308 00:00,202103,15950,16095,15767,15816,175215,0
20210309 00:00,202103,15810,15848,15608,15822,170669,0
20210310 00:00,202103,15977,15986,15808,15883,135501,0
20210311 00:00,202103,15951,16214,15942,16174,134085,0
20210312 00:00,202103,16276,16288,16155,16222,111380,0
20210315 00:00,202103,16206,16249,16142,16200,104404,0
20210316 00:00,202103,16250,16348,16213,16305,108989,0
20210317 00:00,202103,16304,16336,16161,16176,70775,-36
20210318 00:00,202104,16255,16401,16220,16239,138607,0
20210319 00:00,202104,16100,16110,15953,16012,149659,0
20210322 00:00,202104,16018,16174,15911,16140,134486,0
20210323 00:00,202104,16223,16277,16103,16120,116871,0
20210324 00:00,202104,16019,16062,15939,15983,131631,0
20210325 00:00,202104,15890,16090,15870,16032,136257,0
20210326 00:00,202104,16095,16293,16081,16288,123690,0
20210329 00:00,202104,16370,16485,16350,16411,112020,0
20210330 00:00,202104,16469,16531,16418,16519,100761,0
20210331 00:00,202104,16540,16549,16403,16422,103715,0
20210401 00:00,202104,16535,16587,16452,16551,114810,0
20210406 00:00,202104,16760,16840,16697,16731,103529,0
20210407 00:00,202104,16777,16788,16673,16768,92995,0
20210408 00:00,202104,16715,16930,16687,16930,111152,0
20210409 00:00,202104,16952,16971,16810,16841,102589,0
